id,svenskt,latin,Organismgrupp,Kategori,Observationer,Landskapstyp,status_abbrev,Rodlistekriterium
102370,tallsvampmal,Agnathosia sandoeensis,fjäril,Art,11,Skog (S) - Stor betydelse,EN,B1ac(iv)+2ac(iv)
102486,bokskogstubmal,Agnoea subochreella,fjäril,Art,12,Skog (S) - Stor betydelse,NT,B1a+2a
1766,slät fjällav,Agonimia allobata,"svamp, lav",Art,235,"Skog (S) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",NT,A2bc+3bc+4bc
214254,odörtsplattmal,Agonopterix alstromeriana,fjäril,Art,132,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse",NT,B2ab(iii)
100203,sårläkeplattmal,Agonopterix astrantiae,fjäril,Art,37,Skog (S) - Stor betydelse,NT,"B2ab(i,ii,iii,iv,v)"
102371,ginstplattmal,Agonopterix atomella,fjäril,Art,32,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
100204,ängsskäreplattmal,Agonopterix bipunctosa,fjäril,Art,135,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse, Våtmark (V) - Har betydelse",VU,"B2ab(i,ii,iii,iv,v)"
214260,fjällskäreplattmal,Agonopterix broennoeensis,fjäril,Art,3,"Fjäll (F) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse",VU,B2ab(iii)
214277,mindre bockrotsplattmal,Agonopterix capreolella,fjäril,Art,22,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",NT,B2ab(iii)
100205,strandkvanneplattmal,Agonopterix curvipunctosa,fjäril,Art,20,Havsstrand (H) - Stor betydelse,VU,B1ab(iii)+2ab(iii); D2
100206,blåklintsplattmal,Agonopterix laterella,fjäril,Art,3,Jordbrukslandskap (J) - Stor betydelse,EN,B2ab(iii)
100207,rödklintsplattmal,Agonopterix pallorella,fjäril,Art,50,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse",VU,"B2ab(i,ii,iii,iv)"
100208,backsiljeplattmal,Agonopterix parilella,fjäril,Art,12,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse",EN,"B1ab(iii,iv)+2ab(iii,iv)"
102372,fyrpunktsplattmal,Agonopterix quadripunctata,fjäril,Art,50,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse",NT,B2ab(iii)
102373,harrisbladsplattmal,Agonopterix scopariella,fjäril,Art,83,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",NT,B1ac(iv)+2ac(iv)
214273,vattenmärkeplattmal,Agonopterix yeatiana,fjäril,Art,26,"Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse",NT,B2ab(iii)
100218,askpraktbagge,Agrilus convexicollis,skalbagge,Art,44,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",VU,B2ab(iii)
100216,rospraktbagge,Agrilus cuprescens,skalbagge,Art,4,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse",VU,B2ab(iii)
100219,silverfläckig smalpraktbagge,Agrilus guerini,skalbagge,Art,68,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse",NT,B1ab(iii)+2ab(iii)
102159,bredhornad smalpraktbagge,Agrilus laticornis,skalbagge,Art,147,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",NT,B2ab(iii)
100220,rönnpraktbagge,Agrilus mendax,skalbagge,Art,27,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",EN,B2ab(iii)
100221,olivgrön smalpraktbagge,Agrilus olivicolor,skalbagge,Art,89,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse",NT,B2ab(iii)
100222,tvåfärgad smalpraktbagge,Agrilus subauratus,skalbagge,Art,10,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Våtmark (V) - Har betydelse",VU,B2ab(iii)
215411,svartstrimmigt gräsmott,Agriphila deliella,fjäril,Art,18,"Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Stor betydelse",VU,"B2ab(ii,iii,iv)"
100225,smalvingegräsmott,Agriphila poliella,fjäril,Art,6,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Stor betydelse",EN,"B2ab(ii,iii,iv)"
216047,streckbackfly,Agrochola lychnidis,fjäril,Art,84,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse",NT,"B2c(i,iv)"
1957,vedåkerskivling,Agrocybe firma,svamp,Art,3,Skog (S) - Stor betydelse,NT,D1
2955,pygméåkerskivling,Agrocybe pusiola,svamp,Art,11,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse",DD,
100226,kärrmånspindel,Agroeca dentigera,palpkäke,Art,7,"Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse",EN,B1ab(iii)+2ab(iii)
14,klätt,Agrostemma githago,kärlväxt,Art,1187,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse",EN,"B2ab(i,ii,iii,iv,v)c(iv)"
100228,,Agrypnia sahlbergi,nattslända,Art,0,"Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse",DD,
100229,,Agyrtes bicolor,skalbagge,Art,0,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",DD,
16,vittåtel,Aira caryophyllea,kärlväxt,Art,1937,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse",NT,"B2ab(iii,iv)"
17,kritsuga,Ajuga genevensis,kärlväxt,Art,123,"Urban miljö (U) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",CR,"B1ab(i,iii,v)+2ab(i,iii,v)"
232138,gul lammticka,Albatrellus citrinus,svamp,Art,531,Skog (S) - Stor betydelse,VU,A2c+3c+4c
19,grönticka,Albatrellus cristatus,svamp,Art,88,Skog (S) - Stor betydelse,EN,D
1958,lammticka,Albatrellus subrubescens,svamp,Art,459,Skog (S) - Stor betydelse,VU,A2c+3c+4c; C2a(i)
100004,kungsfiskare,Alcedo atthis,fågel,Art,42583,"Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse",VU,D1
1848,norddaggkåpa,Alchemilla borealis,kärlväxt,Art,40,"Skog (S) - Stor betydelse, Fjäll (F) - Har betydelse",NT,B2a
20,sjuhörnig daggkåpa,Alchemilla heptagona,kärlväxt,Art,116,Jordbrukslandskap (J) - Stor betydelse,VU,"B2ab(i,ii,iii,iv,v)"
22,skarptandad daggkåpa,Alchemilla oxyodonta,kärlväxt,Art,164,Jordbrukslandskap (J) - Stor betydelse,EN,"B2ab(ii,iii,iv,v); C2a(i)"
222954,trubbdaggkåpa,Alchemilla plicata,kärlväxt,Art,1561,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Har betydelse",VU,A2bc
21,stubbdaggkåpa,Alchemilla samuelssonii,kärlväxt,Art,366,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse",VU,"B2ab(ii,iii,iv,v)"
1849,tärnadaggkåpa,Alchemilla taernaënsis,kärlväxt,Art,24,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse",NT,B1a+2a; D1
24,kustdaggkåpa,Alchemilla xanthochlora,kärlväxt,Art,135,"Jordbrukslandskap (J) - Stor betydelse, Våtmark (V) - Har betydelse",VU,"B2ab(ii,iii,iv,v)"
100230,skägglavmätare,Alcis jubata,fjäril,Art,238,Skog (S) - Stor betydelse,VU,"B2ab(ii,iii,iv,v)c(iv)"
218204,fläckhjärtlösing,Alderia modesta,blötdjur,Art,0,"Brackvatten (B) - Stor betydelse, Marin miljö (M) - Har betydelse",DD,
6425,garnlav,Alectoria sarmentosa,"svamp, lav",Art,44177,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",NT,A2bc+3c+4c
104623,,Aleochara binotata,skalbagge,Art,59,"Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse",NT,B2b(iii)
104620,,Aleochara laevigata,skalbagge,Art,21,"Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse",NT,B2b(iii)
100232,,Aleochara lygaea,skalbagge,Art,6,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",NT,B2ab(iii)
104607,,Aleochara moesta,skalbagge,Art,3,"Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse",DD,
100233,,Aleochara spissicornis,skalbagge,Art,10,"Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse",NT,B2ab(iii)
104624,,Aleochara verna,skalbagge,Art,23,"Jordbrukslandskap (J) - Stor betydelse, Havsstrand (H) - Har betydelse",NT,B2b(iii)
100234,,Alevonota gracilenta,skalbagge,Art,17,"Havsstrand (H) - Stor betydelse, Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Våtmark (V) - Har betydelse",NT,B2b(iii)
100235,,Alevonota rufotestacea,skalbagge,Art,5,Skog (S) - Stor betydelse,DD,
100452,tvåtandad spolsnäcka,Alinda biplicata,blötdjur,Art,56,"Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse",NT,B2a
28,grässvalting,Alisma gramineum,kärlväxt,Art,0,Sötvatten (L) - Stor betydelse,RE,
30,småsvalting,Alisma wahlenbergii,kärlväxt,Art,1005,"Sötvatten (L) - Stor betydelse, Brackvatten (B) - Har betydelse",NT,B2a
227448,,Alkmaria romijni,mask,Art,1,Brackvatten (B) - Stor betydelse,NT,B2a; D2
100236,gulbent kamklobagge,Allecula morio,skalbagge,Art,990,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse",NT,B2ab(iii)
100237,mörkbent kamklobagge,Allecula rhenana,skalbagge,Art,71,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse",VU,B2ab(iii)
31,rosenlök,Allium carinatum,kärlväxt,Art,356,"Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse",NT,B2a
32,klipplök,Allium lineare,kärlväxt,Art,1728,Jordbrukslandskap (J) - Stor betydelse,EN,"B1ab(iii,v)"
1850,kantlök,Allium lusitanicum,kärlväxt,Art,450,"Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse",EN,"B1ab(ii,iii,v)+2ab(ii,iii,v)"
3277,luddfingersvamp,Alloclavaria purpurea,svamp,Art,628,Skog (S) - Stor betydelse,NT,A2c+3c+4c
102375,vinbärsbladskärare,Alloclemensia mesospilella,fjäril,Art,2,"Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse",VU,B2ab(iii); D2
100239,långborstfåfoting,Allopauropus danicus,mångfoting,Art,1,Skog (S) - Stor betydelse,DD,
